name,address
space needle,"400 Broad St, Seattle, WA 98109"
pike place market,
chihuly garden and glass,"305 Harrison St, Seattle, WA 98109"
gum wall,"1428 Post Alley, Seattle, WA 98101"
"gas works park
","2101 N Northlake Way, Seattle, WA 98103"
seattle great wheel,"1301 Alaskan Way, Seattle, WA 98101"
washington park arboretum,"2300 Arboretum Dr E, Seattle, WA 98112"
fremont troll,"Troll Ave N, Seattle, WA 98103"
seattle central library,"1000 4th Ave, Seattle, WA 98104"
columbia center,"701 5th Ave, Seattle, WA 98104"